Subzone,PopMale,PopFemale,,,,,,,,Admiralty
NORTH0EASTERN ISLANDS,-,-,,,,,,,,Northland
NORTHLAND,13930,14070,,,,,,,,Northshore
NORTHSHORE,230,220,,,,,,,,One North
ONE NORTH,350,370,,,,,,,,One Tree Hill
ONE TREE HILL,910,1150,,,,,,,,Orange Grove
ORANGE GROVE,840,950,,,,,,,,Oxley
OXLEY,670,820,,,,,,,,Pandan
PANDAN,-,-,,,,,,,,Pang Sua
PANG SUA,-,-,,,,,,,,Park
PARK,-,-,,,,,,,,Pasir Panjang 1
PASIR PANJANG 1,2200,2300,,,,,,,,Pasir Panjang 2
PASIR PANJANG 2,1490,1570,,,,,,,,Pasir Ris Central
PASIR RIS CENTRAL,15750,16490,,,,,,,,Pasir Ris Drive
PASIR RIS DRIVE,26940,27480,,,,,,,,Pasir Ris Park
PASIR RIS PARK,3760,3860,,,,,,,,Pasir Ris Wafer Fab Park
PASIR RIS WAFER FAB PARK,-,-,,,,,,,,Pasir Ris West
PASIR RIS WEST,17720,18070,,,,,,,,Paterson
PATERSON,110,130,,,,,,,,Paya Lebar East
PAYA LEBAR EAST,-,-,,,,,,,,Paya Lebar North
PAYA LEBAR NORTH,-,-,,,,,,,,Paya Lebar West
PAYA LEBAR WEST,-,-,,,,,,,,Pearl's Hill
PEARL'S HILL,3370,2750,,,,,,,,Pei Chun
PEI CHUN,4940,5420,,,,,,,,Peng Siang
PENG SIANG,17340,17390,,,,,,,,Penjuru Crescent
PENJURU CRESCENT,-,-,,,,,,,,People's Park
PEOPLE'S PARK,140,160,,,,,,,,Phillip
PHILLIP,-,-,,,,,,,,Pioneer Sector
PIONEER SECTOR,-,-,,,,,,,,Plab
PLAB,-,-,,,,,,,,Plantation
PLANTATION,-,-,,,,,,,,Port
PORT,60,60,,,,,,,,Potong Pasir
POTONG PASIR,5660,6060,,,,,,,,Pulau Punggol Barat
PULAU PUNGGOL BARAT,-,-,,,,,,,,Pulau Punggol Timor
PULAU PUNGGOL TIMOR,-,-,,,,,,,,Pulau Seletar
PULAU SELETAR,-,-,,,,,,,,Punggol Canal
PUNGGOL CANAL,-,-,,,,,,,,Punggol Field
PUNGGOL FIELD,24120,24840,,,,,,,,Punggol Town Centre
PUNGGOL TOWN CENTRE,10920,11340,,,,,,,,Queensway
QUEENSWAY,130,140,,,,,,,,Raffles Place
RAFFLES PLACE,-,-,,,,,,,,Redhill
REDHILL,5150,5470,,,,,,,,Reservoir View
RESERVOIR VIEW,-,-,,,,,,,,Ridout
RIDOUT,690,830,,,,,,,,Rivervale
RIVERVALE,29460,30230,,,,,,,,Robertson Quay
ROBERTSON QUAY,1390,1610,,,,,,,,Rochor Canal
ROCHOR CANAL,-,-,,,,,,,,Safti
SAFTI,-,-,,,,,,,,Samulun
SAMULUN,-,-,,,,,,,,Saujana
SAUJANA,12830,13090,,,,,,,,Selegie
SELEGIE,110,100,,,,,,,,Seletar
SELETAR,130,150,,,,,,,,Seletar Aerospace Park
SELETAR AEROSPACE PARK,-,-,,,,,,,,Seletar Hills
SELETAR HILLS,7250,7460,,,,,,,,Semakau
SEMAKAU,-,-,,,,,,,,Sembawang Central
SEMBAWANG CENTRAL,17060,17740,,,,,,,,Sembawang East
SEMBAWANG EAST,8550,8790,,,,,,,,Sembawang Hills
SEMBAWANG HILLS,3210,3650,,,,,,,,Sembawang North
SEMBAWANG NORTH,12750,12790,,,,,,,,Sembawang Springs
SEMBAWANG SPRINGS,4480,4610,,,,,,,,Sembawang Straits
SEMBAWANG STRAITS,980,930,,,,,,,,Sengkang Town Centre
SENGKANG TOWN CENTRE,30290,31500,,,,,,,,Sengkang West
SENGKANG WEST,-,-,,,,,,,,Senja
SENJA,9920,10260,,,,,,,,Sennett
SENNETT,3480,3720,,,,,,,,Senoko North
SENOKO NORTH,-,-,,,,,,,,Senoko South
SENOKO SOUTH,-,-,,,,,,,,Senoko West
SENOKO WEST,-,-,,,,,,,,Sentosa
SENTOSA,920,1020,,,,,,,,Serangoon Central
SERANGOON CENTRAL,11800,12960,,,,,,,,Serangoon Garden
SERANGOON GARDEN,17220,18860,,,,,,,,Serangoon North
SERANGOON NORTH,7840,8100,,,,,,,,Serangoon North Ind Estate
SERANGOON NORTH IND ESTATE,-,-,,,,,,,,Shangri0La
SHANGRI0LA,7780,8180,,,,,,,,Shipyard
SHIPYARD,-,-,,,,,,,,Siglap
SIGLAP,2980,3460,,,,,,,,Simei
SIMEI,19050,20400,,,,,,,,Simpang North
SIMPANG NORTH,-,-,,,,,,,,Simpang South
SIMPANG SOUTH,-,-,,,,,,,,Singapore General Hospital
SINGAPORE GENERAL HOSPITAL,-,-,,,,,,,,Singapore Polytechnic
SINGAPORE POLYTECHNIC,-,-,,,,,,,,Somerset
SOMERSET,60,80,,,,,,,,Southern Group
SOUTHERN GROUP,-,-,,,,,,,,Springleaf
SPRINGLEAF,2180,2190,,,,,,,,Straits View
STRAITS VIEW,-,-,,,,,,,,Sudong
